PLAYER,YRS00,BA00,YRS01,BA01,YRS12,BA12,YRS13,BA13,YRS14,BA14,YRS15,BA15,YRS16,BA16,YRS17,BA17,YRS18,BA18,YRS19,BA19
Nomar Garciaparra,14,0.372,,,,,,,,,,,,,,,,,,
Todd Helton,17,0.372,17,0.336,17,0.238,17,0.249,,,,,,,,,,,,
Moises Alou,17,0.355,17,0.331,,,,,,,,,,,,,,,,
Darin Erstad,14,0.355,14,0.258,,,,,,,,,,,,,,,,
Manny Ramirez,19,0.351,19,0.306,,,,,,,,,,,,,,,,
Iván Rodríguez,21,0.347,21,0.308,,,,,,,,,,,,,,,,
Vladimir Guerrero,16,0.345,16,0.307,,,,,,,,,,,,,,,,
Ellis Burks,18,0.344,18,0.28,,,,,,,,,,,,,,,,
Carlos Delgado,17,0.344,17,0.279,,,,,,,,,,,,,,,,
Derek Jeter,20,0.339,20,0.311,20,0.316,,,20,0.256,,,,,,,,,,
Jeffrey Hammonds,13,0.335,,,,,,,,,,,,,,,,,,
David Segui,15,0.334,15,0.301,,,,,,,,,,,,,,,,
Jeff Kent,17,0.334,17,0.298,,,,,,,,,,,,,,,,
Chris Stynes,10,0.334,10,0.28,,,,,,,,,,,,,,,,
Luis Castillo,15,0.334,15,0.263,,,,,,,,,,,,,,,,
Jason Giambi,20,0.333,20,0.342,,,,,,,,,,,,,,,,
Mike Sweeney,16,0.333,16,0.304,,,,,,,,,,,,,,,,
Jose Vidro,12,0.33,12,0.319,,,,,,,,,,,,,,,,
Frank Thomas,19,0.328,,,,,,,,,,,,,,,,,,
Johnny Damon,18,0.327,18,0.256,18,0.222,,,,,,,,,,,,,,
Jeff Cirillo,14,0.326,14,0.313,,,,,,,,,,,,,,,,
Gary Sheffield,22,0.325,22,0.311,,,,,,,,,,,,,,,,
Edgar Martinez,18,0.324,18,0.306,,,,,,,,,,,,,,,,
Mike Piazza,16,0.324,16,0.3,,,,,,,,,,,,,,,,
Edgardo Alfonzo,12,0.324,12,0.243,,,,,,,,,,,,,,,,
Travis Fryman,13,0.321,13,0.263,,,,,,,,,,,,,,,,
