,PLAYER,YRS,G,GS,CG,SH,IP,H,ER,BB,SO,W,L,SV,ERA
1,Pedro Martinez,18,30,30,2,0,199.1,144,50,40,239,20,4,0,2.26
2,Randy Johnson,22,35,35,8,4,260.0,197,67,71,334,24,5,0,2.32
3,Derek Lowe,17,32,32,1,1,219.2,166,63,48,127,21,8,0,2.58
4,Greg Maddux,23,34,34,0,0,199.1,194,58,45,118,16,6,0,2.62
5,Barry Zito,15,35,35,1,0,229.1,182,70,78,182,23,5,0,2.75
6,Tim Wakefield,19,45,15,0,0,163.1,121,51,51,134,11,5,3,2.81
7,Bartolo Colon,21,33,33,8,3,233.1,219,76,70,149,20,8,0,2.93
 ,Roy Halladay,16,34,34,2,1,239.1,223,78,62,168,19,7,0,2.93
9,Tom Glavine,22,36,36,2,1,224.2,210,74,78,127,18,11,0,2.96
10,Tim Hudson,17,34,34,4,2,238.1,237,79,62,152,15,9,0,2.98
11,Odalis Perez,10,32,32,4,2,222.1,182,74,38,155,15,10,0,3.00
12,Roy Oswalt,13,35,34,0,0,233.0,215,78,62,208,19,9,0,3.01
13,Elmer Dessens,14,30,30,0,0,178.0,173,60,49,93,7,8,0,3.03
14,Jarrod Washburn,12,32,32,1,0,206.0,183,72,59,139,18,6,0,3.15
15,Tomo Ohka,10,32,31,2,0,192.2,194,68,45,118,13,8,0,3.18
16,Randy Wolf,16,31,31,3,2,210.2,172,75,63,172,11,9,0,3.20
17,Kirk Rueter,13,33,33,0,0,203.2,204,73,54,76,14,8,0,3.23
 ,Curt Schilling,20,36,35,5,1,259.1,218,93,33,316,23,7,0,3.23
19,Kevin Millwood,16,35,34,1,1,217.0,186,78,65,178,18,8,0,3.24
 ,Joel Pineiro,12,37,28,2,1,194.1,189,70,54,136,14,7,0,3.24
21,Vicente Padilla,14,32,32,1,1,206.0,198,75,53,128,14,11,0,3.28
 ,Wade Miller,9,26,26,1,1,164.2,151,60,62,144,15,4,0,3.28
23,A.J. Burnett,17,31,29,7,5,204.1,153,75,90,203,12,9,0,3.30
24,Jamie Moyer,25,34,34,4,2,230.2,198,85,50,147,13,8,0,3.32
25,Steve Trachsel,16,30,30,1,1,173.2,170,65,69,105,11,11,0,3.37
26,Hideo Nomo,12,34,34,0,0,220.1,189,83,101,193,16,6,0,3.39
27,Damian Moss,4,33,29,0,0,179.0,140,68,89,111,12,6,0,3.42
 ,Matt Morris,11,32,32,1,1,210.1,210,80,64,171,17,9,0,3.42
29,Jason Schmidt,14,29,29,2,2,185.1,148,71,73,196,13,8,0,3.45
30,Mark Mulder,9,30,30,2,1,207.1,182,80,55,159,19,7,0,3.47
31,Al Leiter,19,33,33,2,2,204.1,194,79,69,172,13,13,0,3.48
32,Jeff Weaver,11,32,25,3,3,199.2,193,78,48,132,11,11,2,3.52
33,Rodrigo Lopez,11,33,28,1,0,196.2,172,78,62,136,15,9,0,3.57
34,Mark Buehrle,16,34,34,5,2,239.0,236,95,61,134,19,12,0,3.58
 ,Kip Wells,12,33,33,1,1,198.1,197,79,71,134,12,14,0,3.58
36,Matt Clement,9,32,32,3,2,205.0,162,82,85,215,12,11,0,3.60
37,Russ Ortiz,12,33,33,2,0,214.1,191,86,94,137,14,10,0,3.61
38,Kerry Wood,14,33,33,4,1,213.2,169,87,97,217,12,11,0,3.66
39,Brian Lawrence,6,35,31,2,2,210.0,230,86,52,149,12,12,0,3.69
40,David Wells,21,31,31,2,1,206.1,210,86,45,137,19,7,0,3.75
41,Ramon Ortiz,12,32,32,4,1,217.1,188,91,68,162,15,9,0,3.77
42,Rick Reed,15,33,32,2,1,188.0,192,79,26,121,15,7,0,3.78
43,Kenny Rogers,20,33,33,2,1,210.2,212,90,70,107,13,8,0,3.84
44,Cory Lidle,9,31,30,2,2,192.0,191,83,39,111,8,10,0,3.89
45,Paul Byrd,14,33,33,7,2,228.1,224,99,38,129,17,11,0,3.90
 ,Omar Daal,11,39,23,0,0,161.1,142,70,54,105,11,9,0,3.90
47,Javier Vazquez,14,34,34,2,0,230.1,243,100,49,179,10,13,0,3.91
 ,Andy Ashby,14,30,30,0,0,181.2,179,79,65,107,9,13,0,3.91
49,Kevin Appier,16,32,32,0,0,188.1,191,82,64,132,14,12,0,3.92
50,Mike Mussina,18,33,33,2,2,215.2,208,97,48,182,18,10,0,4.05
51,Sidney Ponson,12,28,28,3,0,176.0,172,80,63,120,7,9,0,4.09
52,Jimmy Haynes,10,34,34,0,0,196.2,210,90,81,126,15,10,0,4.12
53,Chuck Finley,17,32,32,2,1,190.2,183,88,78,174,11,15,0,4.15
 ,Ben Sheets,10,34,34,1,0,216.2,237,100,70,170,11,16,0,4.15
55,Ismael Valdez,12,31,31,1,0,196.0,194,91,47,102,8,12,0,4.18
56,Mark Redman,10,30,30,3,0,203.0,211,95,51,109,8,15,0,4.21
57,Kyle Lohse,16,32,31,1,1,180.2,181,85,70,124,13,8,0,4.23
58,Kazuhisa Ishii,4,28,28,0,0,154.0,137,73,106,143,14,10,0,4.27
59,Miguel Batista,18,36,29,1,0,184.2,172,88,70,112,8,9,0,4.29
60,Roger Clemens,24,29,29,0,0,180.0,172,87,63,192,13,6,0,4.35
 ,Josh Fogg,9,33,33,0,0,194.1,199,94,69,113,12,12,0,4.35
62,CC Sabathia,19,33,33,2,0,210.0,198,102,88,149,13,11,0,4.37
63,Livan Hernandez,17,33,33,5,3,216.0,233,105,71,134,12,16,0,4.38
64,Freddy Garcia,15,34,34,1,0,223.2,227,109,63,181,16,10,0,4.39
65,Danys Baez,10,39,26,1,0,165.1,160,81,82,130,10,11,6,4.41
66,Tony Armas,10,29,29,0,0,164.1,149,81,78,131,12,12,0,4.44
67,Brett Tomko,14,32,32,3,0,204.1,212,102,60,126,10,10,0,4.49
68,Rick Helling,12,30,30,0,0,175.2,180,88,48,120,10,12,0,4.51
 ,Ryan Jensen,4,32,30,1,0,171.2,183,86,66,105,13,8,0,4.51
