,PLAYER,whip00,whip01,whip02,whip03,whip04,whip05,whip06,whip07,whip08,whip09,whip10,whip11,whip12,whip13,whip14,whip15,whip16,whip17,whip18,whip19,BirthCountry
0,Brian Anderson,111.2153918,,115.38461540000002,114.6044625,134.3373494,,,,,,,,,,,,,,,,USA
1,Zack Greinke,,,,,,130.05464479999998,,,106.3829787,92.09951986,104.0909091,103.3878505,101.3672796,94.24379233,102.4245423,75.15751575,109.9873578,93.51806037,94.59459459,92.69932757,USA
2,Justin Verlander,,,,,,,109.67741940000002,98.90656064,102.4875622,99.16666667,92.81570727,78.88446215,87.77824444,103.1636864,115.5339806,,82.30633803,89.80582524,80.37383178,70.85201794,USA
3,Cole Hamels,,,,,,,,97.21463681,91.14927345,111.8012422,94.62055716,84.72222222,96.23430962,96.81818182,90.59745348,95.70957096,99.9000999,,97.26603575,,USA
4,Adam Wainwright,,,,,,,,111.8811881,,100.8583691,89.52629292,,105.9535822,100.331675,89.86784141,,117.5580222,,,113.9018692,USA
5,Jon Lester,,,,,,,,,103.7601142,98.96602659,89.42307692,94.66527197,109.7025841,105.1149695,95.80291971,94.63414634,85.55885262,106.5482797,105.9602649,127.3364486,USA
6,Johnny Cueto,,,,,,,,,107.4712644,106.9549971,104.2116631,84.61538462,103.2258065,,77.71381579,96.69811321,97.17153285,,,,Dominican Republic
7,Clayton Kershaw,,,,,,,,,,74.26900585,84.76237139,83.65508366,80.98591549,76.27118644,80.76728925,77.08871662,,88.0,91.86840472,90.39865244,USA
8,J.A. Happ,,,,,,,,,,96.98795181,,104.4202434,,,108.2278481,106.9767442,96.41025641,,94.24379233,106.7659839,USA
9,Rick Porcello,,,,,,,,,,111.6333725,122.0715166,123.0769231,134.0147643,111.8644068,110.675808,119.1860465,96.41255605,121.614968,101.5175301,121.7690982,USA
10,Max Scherzer,,,,,,,,,,102.8806584,95.28688525,113.8461538,104.1666667,80.80336291,97.22853249,83.26029798,81.10477861,70.92907093,76.29427793,90.06391633,USA
11,Trevor Cahill,,,,,,,,,,109.4276094,88.17533129,109.0733591,98.5,,,,,,,,USA
