Unnamed: 0_x,PLAYER,YRS00,BA00,Unnamed: 0_y,YRS01,BA01,Unnamed: 0_x,YRS02,BA02,Unnamed: 0_y,YRS03,BA03,Unnamed: 0_x,YRS04,BA04,Unnamed: 0_y,YRS05,BA05,Unnamed: 0_x,YRS06,BA06,Unnamed: 0_y,YRS07,BA07,Unnamed: 0_x,YRS08,BA08,Unnamed: 0_y,YRS09,BA09,Unnamed: 0_x,YRS10,BA10,Unnamed: 0_y,YRS11,BA11,Unnamed: 0_x,YRS12,BA12,Unnamed: 0_y,YRS13,BA13,Unnamed: 0_x,YRS14,BA14,Unnamed: 0_y,YRS15,BA15,Unnamed: 0_x,YRS16,BA16,Unnamed: 0_y,YRS17,BA17,Unnamed: 0_x,YRS18,BA18,Unnamed: 0_y,YRS19,BA19
1,Nomar Garciaparra,14.0,0.37200000000000005,,,,21,14.0,0.31, ,14.0,0.301, ,14.0,0.308, ,14.0,0.28300000000000003,48,14.0,0.303, ,14.0,0.28300000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Todd Helton,17.0,0.37200000000000005, ,17.0,0.336,7,17.0,0.32899999999999996,2,17.0,0.358,3,17.0,0.34700000000000003,9,17.0,0.32,50,17.0,0.302, ,17.0,0.32, ,17.0,0.264,7,17.0,0.325, ,17.0,0.256,29,17.0,0.302, ,17.0,0.23800000000000002,202,17.0,0.249,,,,,,,,,,,,,,,,,,
3,Moises Alou,17.0,0.355,6,17.0,0.331, ,17.0,0.275,116,17.0,0.28,68,17.0,0.293,7,17.0,0.321,54,17.0,0.301,4,17.0,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Darin Erstad,14.0,0.355, ,14.0,0.258, ,14.0,0.28300000000000003, ,14.0,0.252,63,14.0,0.295, ,14.0,0.273,,,,251,14.0,0.248, ,14.0,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Manny Ramirez,19.0,0.35100000000000003, ,19.0,0.306,2,19.0,0.349,11,19.0,0.325,34,19.0,0.308,63,19.0,0.292,19,19.0,0.321, ,19.0,0.29600000000000004,3,19.0,0.332,77,19.0,0.29,38,19.0,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Iván Rodríguez,21.0,0.34700000000000003,32,21.0,0.308,14,21.0,0.314,60,21.0,0.297,7,21.0,0.33399999999999996,127,21.0,0.276,57,21.0,0.3,128,21.0,0.281,139,21.0,0.276,240,21.0,0.249,152,21.0,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Vladimir Guerrero,16.0,0.345, ,16.0,0.307,5,16.0,0.336, ,16.0,0.33,5,16.0,0.337,11,16.0,0.317,11,16.0,0.32899999999999996,21,16.0,0.324, ,16.0,0.303,60,16.0,0.295,30,16.0,0.3,59,16.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
8,Ellis Burks,18.0,0.344,106,18.0,0.28,39,18.0,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Carlos Delgado,17.0,0.344, ,17.0,0.27899999999999997, ,17.0,0.27699999999999997,46,17.0,0.302,183,17.0,0.26899999999999996, ,17.0,0.301, ,17.0,0.265,217,17.0,0.258,165,17.0,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Derek Jeter,20.0,0.33899999999999997, ,20.0,0.311,52,20.0,0.297,13,20.0,0.324,74,20.0,0.292,17,20.0,0.309,3,20.0,0.34299999999999997,24,20.0,0.322,48,20.0,0.3,4,20.0,0.33399999999999996, ,20.0,0.27,44,20.0,0.297,15,20.0,0.316,,,,169,20.0,0.256,,,,,,,,,,,,,,,
