,PLAYER,YRS,G,GS,CG,SH,IP,H,ER,BB,SO,W,L,SV,ERA
1,Randy Johnson,22,35,34,3,2,249.2,181,69,71,372,21,6,0,2.49
2,Curt Schilling,20,35,35,6,1,256.2,237,85,39,293,22,6,0,2.98
3,John Burkett,15,34,34,1,1,219.1,187,74,70,187,12,12,0,3.04
4,Greg Maddux,23,34,34,3,3,233.0,220,79,27,173,17,11,0,3.05
 ,Freddy Garcia,15,34,34,4,3,238.2,199,81,69,163,18,6,0,3.05
6,Darryl Kile,12,34,34,2,1,227.1,228,78,65,179,16,11,0,3.09
7,Mike Mussina,18,34,34,4,3,228.2,202,80,42,214,17,11,0,3.15
8,Joe Mays,7,34,34,4,2,233.2,205,82,64,123,17,13,0,3.16
 ,Matt Morris,11,34,34,2,1,216.1,218,76,54,185,22,8,0,3.16
10,Russ Ortiz,12,33,33,1,1,218.2,187,80,91,169,17,9,0,3.29
 ,Mark Buehrle,16,32,32,4,2,221.1,188,81,48,126,16,8,0,3.29
12,Al Leiter,19,29,29,0,0,187.1,178,69,46,142,11,11,0,3.31
13,Kerry Wood,14,28,28,1,1,174.1,127,65,92,217,12,6,0,3.36
14,Tim Hudson,17,35,35,3,0,235.0,216,88,71,181,18,9,0,3.37
15,Wade Miller,9,32,32,1,0,212.0,183,80,76,183,16,8,0,3.40
16,Javier Vazquez,14,32,32,5,3,223.2,197,85,44,208,16,11,0,3.42
17,Jamie Moyer,25,33,33,1,0,209.2,187,80,44,119,20,6,0,3.43
18,Mark Mulder,9,34,34,6,4,229.1,214,88,51,153,21,8,0,3.45
19,Barry Zito,15,35,35,3,2,214.1,184,83,80,205,17,8,0,3.49
20,Chan Ho Park,17,36,35,2,1,234.0,183,91,91,218,15,11,0,3.50
21,Roger Clemens,24,33,33,0,0,220.1,205,86,72,213,20,3,0,3.51
22,Tom Glavine,22,35,35,1,1,219.1,213,87,97,116,16,7,0,3.57
 ,Kevin Appier,16,33,33,1,1,206.2,181,82,64,172,11,10,0,3.57
24,Cory Lidle,9,29,29,1,0,188.0,170,75,47,118,13,6,0,3.59
25,Aaron Sele,15,34,33,2,1,215.0,216,86,51,114,15,5,0,3.60
26,Steve W. Sparks,9,35,33,8,1,232.0,244,94,64,116,14,9,0,3.65
27,Brad Penny,14,31,31,1,1,205.0,183,84,54,154,10,10,0,3.69
28,Randy Wolf,16,28,25,4,2,163.0,150,67,51,152,10,11,0,3.70
29,Jarrod Washburn,12,30,30,1,0,193.1,196,81,54,126,11,10,0,3.77
30,Jon Lieber,14,34,34,5,1,232.1,226,98,41,148,20,6,0,3.80
31,Tim Wakefield,19,45,17,0,0,168.2,156,73,73,148,9,12,3,3.90
32,Brad Radke,12,33,33,6,2,226.0,235,99,26,137,15,11,0,3.94
33,Andy Pettitte,18,31,31,2,0,200.2,224,89,41,164,15,10,0,3.99
34,Shawn Estes,13,27,27,0,0,159.0,151,71,77,109,9,8,0,4.02
35,Tony Armas,10,34,34,0,0,196.2,180,88,91,176,9,14,0,4.03
36,Rick Reed,15,32,32,3,1,202.1,211,91,31,142,12,12,0,4.05
 ,Woody Williams,15,34,34,3,1,220.0,224,99,56,154,15,9,0,4.05
 ,A.J. Burnett,17,27,27,2,1,173.1,145,78,83,128,11,12,0,4.05
39,Jason Schmidt,14,25,25,1,0,150.1,138,68,61,142,13,7,0,4.07
40,Jeff Weaver,11,33,33,5,0,229.1,235,104,68,152,13,16,0,4.08
41,Jason Johnson,11,32,32,2,0,196.0,194,89,77,114,10,12,0,4.09
 ,Bartolo Colon,21,34,34,1,0,222.1,220,101,90,201,14,12,0,4.09
 ,Chris Carpenter,15,34,34,3,2,215.2,229,98,75,157,11,11,0,4.09
44,Robert Person,9,33,33,3,1,208.1,179,97,80,183,15,7,0,4.19
45,Paul Abbott,11,28,27,1,0,163.0,145,77,87,118,17,4,0,4.25
46,Jason Bere,11,32,32,2,0,188.0,171,90,77,175,11,11,0,4.31
